iter	Passed	Remaining
0	65	196566
1	153	229744
2	211	211597
3	260	194778
4	300	179789
5	350	174758
6	423	181080
7	495	185393
8	563	187281
9	608	182024
10	670	182100
11	720	179344
12	780	179402
13	830	177068
14	897	178614
15	963	179639
16	1036	181856
17	1099	182096
18	1189	186626
19	1223	182306
20	1282	181986
21	1343	181821
22	1387	179603
23	1446	179411
24	1495	177941
25	1559	178415
26	1655	182238
27	1715	182087
28	1780	182413
29	1809	179176
30	1843	176538
31	1871	173625
32	1946	174994
33	2063	179991
34	2158	182889
35	2228	183512
36	2298	184064
37	2369	184691
38	2411	183116
39	2478	183386
40	2552	184217
41	2647	186487
42	2740	188461
43	2798	188011
44	2836	186296
45	2935	188493
46	3005	188819
47	3075	189127
48	3154	189961
49	3218	189866
50	3305	191147
51	3378	191541
52	3442	191443
53	3475	189616
54	3546	189887
55	3614	190035
56	3676	189826
57	3744	189911
58	3812	190024
59	3889	190562
60	3953	190461
61	4033	191152
62	4139	192962
63	4206	192961
64	4314	194818
65	4388	195078
66	4484	196310
67	4583	197620
68	4642	197221
69	4712	197264
70	4785	197424
71	4853	197372
72	4901	196522
73	4957	196023
74	5025	196007
75	5092	195916
76	5170	196296
77	5237	196216
78	5309	196312
79	5352	195367
80	5417	195248
81	5504	195885
82	5569	195748
83	5639	195782
84	5744	197002
85	5789	196185
86	5897	197464
87	5938	196507
88	6040	197572
89	6110	197572
90	6148	196547
91	6215	196457
92	6282	196371
93	6354	196450
94	6389	195374
95	6454	195253
96	6537	195653
97	6605	195596
98	6634	194413
99	6704	194416
100	6774	194445
101	6823	193881
102	6913	194439
103	6973	194172
104	7077	195123
105	7147	195137
106	7183	194223
107	7213	193158
108	7280	193093
109	7310	192073
110	7336	190954
111	7388	190521
112	7416	189482
113	7481	189403
114	7555	189537
115	7624	189572
116	7698	189689
117	7724	188663
118	7814	189186
119	7884	189238
120	7920	188463
121	7958	187739
122	8021	187615
123	8091	187676
124	8164	187776
125	8234	187829
126	8299	187754
127	8336	187045
128	8402	187006
129	8472	187049
130	8500	186156
131	8563	186069
132	8620	185824
133	8658	185187
134	8724	185157
135	8832	186011
136	8885	185678
137	8943	185484
138	9057	186436
139	9169	187323
140	9251	187582
141	9348	188151
142	9446	188724
143	9492	188259
144	9556	188168
145	9590	187479
146	9746	189157
147	9800	188854
148	9856	188604
149	9915	188397
150	9955	187842
151	10042	188157
152	10118	188275
153	10203	188570
154	10304	189143
155	10351	188708
156	10438	189030
157	10513	189110
158	10589	189209
159	10663	189279
160	10726	189146
161	10773	188737
162	10889	189535
163	10964	189608
164	11036	189626
165	11108	189647
166	11198	189972
167	11293	190374
168	11341	189993
169	11397	189728
170	11472	189794
171	11538	189711
172	11611	189747
173	11674	189603
174	11739	189511
175	11780	189020
176	11844	188913
177	11933	189187
178	11973	188704
179	12033	188529
180	12096	188404
181	12178	188559
182	12222	188145
183	12304	188304
184	12390	188532
185	12429	188041
186	12538	188619
187	12640	189070
188	12744	189551
189	12846	189989
190	12929	190158
191	13040	190721
192	13143	191159
193	13236	191449
194	13342	191924
195	13463	192605
196	13538	192635
197	13581	192197
198	13658	192245
199	13749	192490
200	13817	192420
201	13901	192555
202	13980	192626
203	14045	192505
204	14175	193271
205	14295	193895
206	14371	193914
207	14414	193481
208	14446	192918
209	14538	193156
210	14608	193092
211	14732	193743
212	14825	193989
213	14915	194183
214	15017	194524
215	15144	195195
216	15194	194865
217	15266	194822
218	15349	194920
219	15418	194840
220	15452	194313
221	15562	194740
222	15673	195184
223	15722	194847
224	15824	195166
225	15904	195221
226	15962	194997
227	16031	194905
228	16096	194769
229	16153	194543
230	16219	194425
231	16280	194243
232	16391	194656
233	16446	194408
234	16552	194750
235	16628	194747
236	16696	194654
237	16762	194525
238	16846	194620
239	16903	194390
240	17003	194660
241	17090	194771
242	17133	194387
243	17203	194316
244	17273	194240
245	17307	193756
246	17373	193645
247	17457	193722
248	17538	193773
249	17592	193520
250	17661	193430
251	17732	193372
252	17804	193311
253	17915	193681
254	17962	193366
255	18067	193665
256	18128	193489
257	18170	193117
258	18256	193211
259	18320	193071
260	18363	192712
261	18398	192270
262	18494	192464
263	18609	192862
264	18679	192788
265	18719	192406
266	18808	192519
267	18869	192352
268	18955	192439
269	19012	192237
270	19094	192286
271	19195	192516
272	19299	192780
273	19422	193232
274	19533	193562
275	19641	193851
276	19700	193661
277	19830	194163
278	19979	194853
279	20099	195254
280	20183	195295
281	20231	195001
282	20275	194660
283	20331	194437
284	20412	194458
285	20565	195159
286	20681	195503
287	20739	195297
288	20775	194889
289	20808	194455
290	20905	194614
291	20996	194717
